bit_pos,input_diff_hex,biased_pcs,max_diff,silhouette_clusters,silhouette_true,elapsed_sec
0,0x0000000000000001,185,-0.000400,0.223175,0.000008,1.625
1,0x0000000000000002,183,-0.000493,0.219133,-0.000036,1.686
2,0x0000000000000004,185,-0.000379,0.216904,0.000357,1.534
3,0x0000000000000008,184,-0.000409,0.216245,0.000088,1.485
4,0x0000000000000010,185,-0.000514,0.215897,0.000012,1.466
5,0x0000000000000020,184,-0.000450,0.219496,-0.000064,2.004
6,0x0000000000000040,184,-0.000428,0.218719,0.000167,2.003
7,0x0000000000000080,184,-0.000395,0.217150,-0.000107,2.086
8,0x0000000000000100,183,-0.000406,0.222777,-0.000048,1.790
9,0x0000000000000200,185,-0.000385,0.222378,-0.000070,1.505
10,0x0000000000000400,184,-0.000334,0.221742,-0.000233,1.865
11,0x0000000000000800,185,-0.000436,0.217098,0.000040,2.030
12,0x0000000000001000,184,-0.000392,0.221056,-0.000119,1.709
13,0x0000000000002000,184,-0.000438,0.218293,-0.000093,2.254
14,0x0000000000004000,184,-0.000447,0.222846,0.000163,2.032
15,0x0000000000008000,184,-0.000482,0.220118,0.000130,1.807
16,0x0000000000010000,184,-0.000512,0.222541,0.000043,1.590
17,0x0000000000020000,184,-0.000414,0.221404,-0.000051,1.758
18,0x0000000000040000,185,-0.000441,0.222667,-0.000048,1.626
19,0x0000000000080000,184,-0.000387,0.220733,-0.000156,1.527
20,0x0000000000100000,184,-0.000395,0.222859,-0.000172,1.619
21,0x0000000000200000,185,-0.000404,0.220016,-0.000153,1.476
22,0x0000000000400000,184,-0.000453,0.224870,-0.000184,1.466
23,0x0000000000800000,186,-0.000396,0.221230,-0.000005,1.557
24,0x0000000001000000,186,-0.000448,0.220607,0.000034,1.607
25,0x0000000002000000,185,-0.000399,0.221021,0.000078,1.701
26,0x0000000004000000,185,-0.000380,0.220145,0.000385,1.497
27,0x0000000008000000,185,-0.000375,0.220697,0.000319,1.435
28,0x0000000010000000,185,-0.000389,0.224309,0.000315,1.642
29,0x0000000020000000,184,-0.000356,0.222354,0.000314,1.666
30,0x0000000040000000,185,-0.000573,0.220630,-0.000097,1.627
31,0x0000000080000000,184,-0.000461,0.221614,0.000039,1.407
32,0x0000000100000000,185,-0.000425,0.219355,-0.000045,1.586
33,0x0000000200000000,184,-0.000438,0.218320,-0.000074,1.703
34,0x0000000400000000,185,-0.000450,0.221505,-0.000152,1.518
35,0x0000000800000000,185,-0.000415,0.219225,0.000029,1.421
36,0x0000001000000000,184,-0.000406,0.225410,-0.000068,1.610
37,0x0000002000000000,185,-0.000441,0.219796,0.000141,1.535
38,0x0000004000000000,185,-0.000370,0.224579,0.000234,1.711
39,0x0000008000000000,186,-0.000379,0.223090,-0.000080,1.651
40,0x0000010000000000,184,-0.000300,0.220981,0.000315,2.022
41,0x0000020000000000,186,-0.000481,0.218080,-0.000232,1.634
42,0x0000040000000000,186,-0.000414,0.219125,-0.000132,1.569
43,0x0000080000000000,184,-0.000426,0.216065,0.000272,1.746
44,0x0000100000000000,185,-0.000511,0.215742,0.000013,1.859
45,0x0000200000000000,185,-0.000364,0.215769,0.000093,1.997
46,0x0000400000000000,184,-0.000411,0.221387,0.000139,1.617
47,0x0000800000000000,185,-0.000481,0.219214,0.000201,1.549
48,0x0001000000000000,184,-0.000492,0.220453,-0.000061,1.875
49,0x0002000000000000,185,-0.000370,0.221506,-0.000124,1.750
50,0x0004000000000000,185,-0.000408,0.222614,0.000229,1.939
51,0x0008000000000000,184,-0.000501,0.219622,-0.000049,1.774
52,0x0010000000000000,185,-0.000492,0.215247,0.000010,1.549
53,0x0020000000000000,184,-0.000506,0.217009,-0.000002,1.559
54,0x0040000000000000,185,-0.000416,0.223521,-0.000065,1.620
55,0x0080000000000000,185,-0.000436,0.220889,-0.000014,1.561
56,0x0100000000000000,184,-0.000474,0.220037,0.000199,1.688
57,0x0200000000000000,184,-0.000400,0.220277,-0.000039,2.044
58,0x0400000000000000,185,-0.000487,0.216723,0.000032,1.933
59,0x0800000000000000,185,-0.000500,0.220605,-0.000204,1.870
60,0x1000000000000000,185,-0.000359,0.218099,-0.000191,1.613
61,0x2000000000000000,184,-0.000447,0.223020,0.000363,1.925
62,0x4000000000000000,183,-0.000422,0.217867,-0.000036,2.229
63,0x8000000000000000,184,-0.000426,0.211793,-0.000068,2.021
